打印 print
輸出 print
退出 exit
賦值 =
一 1
二 2
三 3
四 4
五 5
六 6
七 7
八 8
九 9
十 10
註記 #
（ (
） )
「 '
」 '
『 "
』 "
是 True
否 False
真 True
假 False
字串 str
整數 int
小數 float
浮點數 float
複數 complex
清單 list
元組 tuple
範圍 range
字典 dict
集合 set
不可變集合 frozenset
真假 bool
布林 bool
類別 type
資料型態 type
型態 type
， ,
〔 [
〕 ]
｛ {
｝ }
全域變數： global
全域變數 global
全域 global
離開迴圈 break
繼續 continue
下一迴圈 continue
回傳 return
無 None
斷言 assert
略過 pass
跟著 with
打開 open
開啟 open
關上 close
定義函式 def
定義函數 def
函數 def
函式 def
定義 def
於 in
不 not
否則如果 elif
又如果 elif
如果 if
若 if
否則 else
不然 else
分隔 sep
結尾 end
全大寫 upper
全小寫 lower
全小寫加強版 casefold
首字母大寫 capitalize
標題化 title
左邊脫掉 lstrip
右邊脫掉 rstrip
脫光光 strip
脫掉 strip
扒 strip
左修剪 lstrip
右修剪 rstrip
修剪 strip
移除首尾空格 strip
取代 replace
分割 split
格式 format
全是數字 isdigit
是數字 isdigit
全是英數 isalnum
是英數 isalnum
全是空格 isspace
全都 all
任何 any
全是小寫 islower
全是大寫 isupper
加總 sum
合併 join
填○ zfill
填零 zfill
大於等於 >=
小於等於 <=
大於 >
小於 <
不等於 !=
等於 ==
且 and
或 or
就是 is
加 +
減 -
乘 *
除 /
取商 //
左移 <<
右移 >>
新增 append
延長 extend
插入 insert
移除 remove
跳走 pop
刪 del
清空 clear
則 :
遍歷 for
重複只要 while
已排序 sorted
排序 sort
反轉 reverse
絕對值 abs
鍵 key
複製 copy
匿名 lambda
類別 Class
嘗試 try
有例外 except
匯入 import
從 from
當成 as
日期時間 datetime
時間 time
數學 math



